,election_city,2018_registered_voters,2018_turnout,2018_percent_turnout,2018_valid_vote,2018_AKP,2018_MHP,2018_huda,2018_vatan,2018_HDP,2018_CHP,2018_saadet,2018_iyi,2018_independent,2015-1_registered_voters,2015-1_turnout,2015-1_percent_turnout,2015-1_valid_vote,2015-1_millet,2015-1_vatan,2015-1_CHP,2015-1_hak,2015-1_saadet,2015-1_dsp,2015-1_dp,2015-1_btp,2015-1_MHP,2015-1_hkp,2015-1_ldp,2015-1_HDP,2015-1_bbp,2015-1_AKP,2015-1_kp,2015-1_dyp,2015-1_indep,2015-2_registered_voters,2015-2_turnout,2015-2_percent_turnout,2015-2_valid_vote,2015-2_dyp,2015-2_anadolu,2015-2_hak,2015-2_kp,2015-2_millet,2015-2_hap,2015-2_mep,2015-2_turk,2015-2_hkp,2015-2_ldp,2015-2_MHP,2015-2_HDP,2015-2_saadet,2015-2_CHP,2015-2_AKP,2015-2_DSP,2015-2_yurt,2015-2_DP,2015-2_vatan,2015-2_BTP,2015-2_indep
0,turkiye,59367469.0,51189444.0,86.2,50137175.0,21338693.0,5565331.0,155539.0,114872.0,5867302.0,11354190.0,672139.0,4993479.0,75630.0,56949009.0,48537695.0,85.2,47840231.0,19714.0,118803.0,12111812.0,108583.0,325978.0,31805.0,69319.0,49297.0,5694136.0,83057.0,26816.0,5148085.0,253204.0,23681926.0,52527.0,14131.0,51038.0,56608817.0,47507467.0,83.9,46163243.0,28852.0,27688.0,58716.0,13780.0,17473.0,5711.0,20945.0,72701.0,60396.0,26500.0,7520006.0,6058489.0,949178.0,11518139.0,18867411.0,85810.0,9289.0,75784.0,161674.0,96475.0,488226.0
1,adana ,1524922.0,1313497.0,86.1,1329187.0,461191.0,156257.0,7042.0,2502.0,179742.0,346425.0,14118.0,161497.0,413.0,1483448.0,1271890.0,85.7,1290389.0,488.0,2948.0,379690.0,2635.0,8175.0,782.0,1459.0,1107.0,248655.0,2106.0,915.0,153880.0,5028.0,481851.0,658.0,12.0,0.0,1477328.0,1254393.0,84.9,1258204.0,1135.0,608.0,1308.0,318.0,514.0,16.0,652.0,2223.0,1481.0,979.0,290428.0,183491.0,19362.0,359280.0,382219.0,1941.0,5.0,1549.0,3907.0,1774.0,5014.0
2,adyaman ,399281.0,345098.0,86.4,346800.0,191079.0,31716.0,4262.0,599.0,53444.0,41796.0,5626.0,18278.0,0.0,381428.0,325021.0,85.2,328724.0,97.0,360.0,37434.0,707.0,2107.0,111.0,220.0,180.0,10107.0,442.0,234.0,47038.0,1865.0,227154.0,556.0,112.0,0.0,380745.0,313440.0,82.3,313638.0,347.0,79.0,439.0,54.0,104.0,245.0,202.0,1112.0,437.0,91.0,13601.0,70979.0,6119.0,36033.0,181918.0,550.0,1.0,307.0,376.0,644.0,0.0
3,afyonkarahisar ,506851.0,459166.0,90.6,461207.0,255430.0,64342.0,994.0,1175.0,5780.0,66700.0,5102.0,61684.0,0.0,495162.0,440880.0,89.0,443786.0,321.0,845.0,72110.0,19.0,3472.0,308.0,1707.0,488.0,74267.0,974.0,150.0,4543.0,3107.0,280499.0,659.0,317.0,0.0,493765.0,437826.0,88.7,434691.0,536.0,214.0,15.0,64.0,393.0,6.0,295.0,1738.0,1129.0,4.0,109083.0,6437.0,9419.0,72821.0,227360.0,1307.0,2.0,2192.0,940.0,736.0,0.0
4,agr ,295475.0,232345.0,78.6,231212.0,66624.0,5800.0,1740.0,421.0,143885.0,6729.0,1892.0,3834.0,287.0,289274.0,217813.0,75.3,219713.0,50.0,102.0,3758.0,500.0,704.0,129.0,138.0,177.0,3696.0,412.0,823.0,146763.0,1229.0,61098.0,132.0,2.0,0.0,291539.0,241134.0,82.7,242644.0,7.0,107.0,342.0,35.0,58.0,3.0,2.0,453.0,341.0,2.0,6593.0,186617.0,1398.0,3283.0,40353.0,225.0,1.0,103.0,94.0,633.0,1994.0
5,amasya ,246486.0,225566.0,91.5,227578.0,106937.0,28240.0,368.0,465.0,5165.0,56313.0,2535.0,27555.0,0.0,238993.0,215759.0,90.3,218330.0,96.0,420.0,53092.0,731.0,1340.0,165.0,351.0,240.0,44097.0,435.0,59.0,2733.0,1413.0,112788.0,270.0,100.0,0.0,238506.0,213886.0,89.7,214386.0,161.0,77.0,429.0,32.0,83.0,66.0,80.0,750.0,299.0,162.0,48485.0,3447.0,4768.0,55767.0,98331.0,425.0,51.0,366.0,328.0,279.0,0.0
6,ankara  nolu,1401842.0,1250107.0,89.2,1269563.0,391457.0,136050.0,1194.0,3280.0,112080.0,450518.0,17368.0,156592.0,1024.0,2097017.0,1877319.0,89.5,1909552.0,600.0,7107.0,662830.0,2977.0,7989.0,806.0,1296.0,1626.0,269514.0,1810.0,1136.0,99803.0,12224.0,837602.0,2076.0,18.0,138.0,2074389.0,1829743.0,88.2,1839080.0,52.0,1452.0,1110.0,873.0,584.0,24.0,728.0,2371.0,1326.0,1238.0,332095.0,120043.0,31653.0,610227.0,673831.0,2627.0,362.0,1674.0,11136.0,4115.0,41559.0
7,ankara  nolu,1185218.0,1056573.0,89.1,1072402.0,547713.0,160089.0,1266.0,2038.0,45211.0,187834.0,16464.0,111787.0,0.0,1646606.0,1476400.0,89.7,1499845.0,530.0,3540.0,374703.0,2286.0,6625.0,563.0,1273.0,1659.0,208111.0,1532.0,743.0,51313.0,12277.0,832862.0,1461.0,367.0,0.0,1628864.0,1436253.0,88.2,1439397.0,790.0,681.0,1127.0,398.0,501.0,19.0,454.0,2796.0,1077.0,825.0,252172.0,62621.0,29234.0,346068.0,683592.0,2417.0,1446.0,1209.0,5036.0,4174.0,42760.0
8,ankara  nolu,1317525.0,1185636.0,90.0,1204848.0,494955.0,168827.0,1370.0,2331.0,69942.0,286991.0,19101.0,160862.0,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,antalya ,1681336.0,1468770.0,87.4,1480351.0,517530.0,149777.0,3187.0,3917.0,108479.0,431675.0,14207.0,250294.0,1285.0,1588111.0,1374359.0,86.5,1393588.0,673.0,4334.0,458023.0,3659.0,6469.0,736.0,2694.0,1351.0,241490.0,2499.0,838.0,82179.0,6469.0,581391.0,770.0,13.0,0.0,1568153.0,1333719.0,85.1,1336940.0,1352.0,947.0,2380.0,471.0,589.0,17.0,663.0,26.0,1541.0,1178.0,289954.0,96765.0,17557.0,434272.0,471695.0,2261.0,5.0,2706.0,6439.0,2619.0,3503.0
10,artvin ,131275.0,115066.0,87.7,115457.0,46769.0,11774.0,329.0,432.0,5676.0,36973.0,1679.0,11825.0,0.0,129365.0,108470.0,83.8,109447.0,97.0,324.0,38153.0,739.0,999.0,121.0,399.0,280.0,14582.0,375.0,72.0,2720.0,542.0,49781.0,174.0,89.0,0.0,129961.0,110682.0,85.2,110686.0,123.0,58.0,323.0,50.0,48.0,63.0,108.0,524.0,252.0,117.0,25051.0,3450.0,1901.0,33958.0,43228.0,274.0,42.0,364.0,340.0,412.0,0.0
11,aydn ,815974.0,726243.0,89.0,731510.0,237734.0,59212.0,1823.0,2653.0,68447.0,248359.0,5138.0,108144.0,0.0,777068.0,679205.0,87.4,686279.0,369.0,2968.0,275558.0,2593.0,2367.0,612.0,1761.0,773.0,106562.0,1242.0,492.0,50108.0,3255.0,236387.0,759.0,473.0,0.0,772649.0,672827.0,87.1,673935.0,883.0,441.0,1448.0,208.0,311.0,9.0,368.0,13.0,858.0,573.0,120947.0,61340.0,7340.0,270015.0,200275.0,1193.0,226.0,1870.0,4486.0,1131.0,0.0
12,balkesir ,945092.0,858214.0,90.8,864573.0,357932.0,65380.0,1533.0,2881.0,36770.0,262566.0,10073.0,127213.0,225.0,909317.0,805147.0,88.5,816500.0,463.0,3261.0,278829.0,34.0,6898.0,894.0,2877.0,963.0,119116.0,1958.0,455.0,22374.0,3694.0,374153.0,523.0,8.0,0.0,906421.0,802532.0,88.5,804329.0,965.0,534.0,27.0,239.0,383.0,10.0,465.0,15.0,1439.0,721.0,160955.0,27804.0,14608.0,270804.0,314656.0,1945.0,3.0,2599.0,4310.0,1531.0,316.0
13,bilecik ,154319.0,140203.0,90.9,141462.0,61261.0,13213.0,459.0,386.0,4776.0,39824.0,1583.0,19960.0,0.0,148943.0,134631.0,90.4,136100.0,87.0,401.0,45392.0,531.0,1234.0,95.0,374.0,175.0,18857.0,279.0,100.0,3884.0,1017.0,63394.0,153.0,127.0,0.0,148650.0,134499.0,90.5,134880.0,166.0,40.0,199.0,26.0,47.0,42.0,94.0,325.0,200.0,152.0,34288.0,4967.0,2934.0,39357.0,50690.0,236.0,37.0,335.0,480.0,265.0,0.0
14,bingol ,180991.0,147204.0,81.3,144763.0,80022.0,8502.0,6301.0,344.0,38803.0,3312.0,1570.0,5909.0,0.0,171159.0,134462.0,78.6,132812.0,38.0,102.0,2454.0,396.0,880.0,59.0,65.0,103.0,2527.0,518.0,5.0,38714.0,1096.0,85498.0,246.0,111.0,0.0,170761.0,136688.0,80.0,133675.0,4.0,116.0,442.0,40.0,37.0,168.0,104.0,526.0,268.0,1.0,3971.0,54157.0,1481.0,2149.0,62798.0,292.0,83.0,94.0,193.0,547.0,6204.0
15,bitlis ,198510.0,165568.0,83.4,164457.0,73706.0,6716.0,1815.0,539.0,69965.0,4495.0,1824.0,5397.0,0.0,189973.0,153819.0,81.0,153361.0,38.0,90.0,4788.0,302.0,813.0,73.0,120.0,115.0,3196.0,564.0,5.0,74536.0,721.0,67686.0,200.0,114.0,0.0,188176.0,159236.0,84.6,158103.0,4.0,89.0,315.0,31.0,37.0,178.0,100.0,397.0,309.0,1.0,6379.0,93987.0,1397.0,2687.0,49568.0,256.0,60.0,102.0,82.0,415.0,1709.0
16,bolu ,222455.0,199734.0,89.8,201631.0,105102.0,30123.0,382.0,578.0,4188.0,40954.0,3069.0,17235.0,0.0,212896.0,190041.0,89.3,192253.0,121.0,467.0,41155.0,708.0,2151.0,192.0,674.0,244.0,20720.0,405.0,86.0,2984.0,1446.0,120431.0,326.0,143.0,0.0,212854.0,187897.0,88.3,188403.0,254.0,147.0,597.0,74.0,102.0,88.0,125.0,4.0,270.0,155.0,30029.0,3932.0,6627.0,46045.0,97873.0,419.0,65.0,623.0,523.0,451.0,0.0
17,burdur ,196380.0,177117.0,90.2,176432.0,76123.0,22059.0,571.0,750.0,3385.0,35690.0,2699.0,35155.0,0.0,191138.0,171098.0,89.5,172067.0,164.0,526.0,42635.0,755.0,1929.0,248.0,616.0,240.0,33352.0,484.0,105.0,2080.0,1181.0,87315.0,265.0,172.0,0.0,191550.0,170981.0,89.3,170259.0,292.0,111.0,546.0,55.0,135.0,133.0,151.0,3.0,301.0,189.0,39011.0,3237.0,4448.0,46129.0,73381.0,472.0,93.0,588.0,668.0,316.0,0.0
18,bursa  nolu,1100727.0,991424.0,90.1,1002458.0,433129.0,99469.0,1722.0,2393.0,47685.0,258159.0,16504.0,142512.0,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,bursa  nolu,1046996.0,938619.0,89.6,949563.0,468401.0,109992.0,2778.0,2324.0,63345.0,185234.0,16986.0,100503.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,canakkale ,406809.0,371045.0,91.2,374073.0,139798.0,25938.0,713.0,1245.0,14014.0,126498.0,2888.0,62716.0,263.0,388342.0,345883.0,89.1,350554.0,227.0,1528.0,136503.0,1733.0,1507.0,394.0,1306.0,516.0,53879.0,797.0,201.0,8804.0,1478.0,140903.0,484.0,294.0,0.0,387062.0,346304.0,89.5,348019.0,436.0,218.0,792.0,143.0,149.0,4.0,199.0,1103.0,542.0,271.0,68816.0,10699.0,3576.0,135861.0,120285.0,765.0,133.0,1550.0,1801.0,676.0,0.0
21,cankr ,133958.0,118106.0,88.2,119122.0,70533.0,23375.0,207.0,251.0,1321.0,7982.0,1310.0,14143.0,0.0,129917.0,111589.0,85.9,112752.0,56.0,125.0,6966.0,333.0,837.0,59.0,211.0,157.0,23997.0,215.0,38.0,1010.0,976.0,77511.0,192.0,69.0,0.0,131689.0,111022.0,84.3,110745.0,88.0,40.0,183.0,15.0,37.0,45.0,56.0,569.0,188.0,110.0,31196.0,1421.0,2649.0,7644.0,65560.0,285.0,31.0,227.0,167.0,234.0,0.0
22,corum ,390689.0,356078.0,91.1,358970.0,186915.0,50387.0,634.0,869.0,13096.0,72945.0,3909.0,30215.0,0.0,385544.0,343285.0,89.0,347259.0,121.0,665.0,76112.0,1256.0,1990.0,185.0,605.0,408.0,42396.0,696.0,152.0,6786.0,2772.0,212382.0,566.0,167.0,0.0,386225.0,338844.0,87.7,339197.0,295.0,142.0,1026.0,97.0,148.0,4.0,286.0,6.0,681.0,3.0,59817.0,7687.0,6686.0,75587.0,184099.0,727.0,111.0,642.0,644.0,509.0,0.0
23,denizli ,747897.0,682660.0,91.3,684555.0,278925.0,63105.0,1740.0,2176.0,27588.0,192012.0,5723.0,112713.0,573.0,717922.0,646967.0,90.1,653240.0,433.0,2210.0,221031.0,2266.0,2538.0,579.0,1699.0,797.0,94881.0,1103.0,335.0,20111.0,4718.0,298947.0,925.0,542.0,125.0,712973.0,641115.0,89.9,641528.0,788.0,493.0,22.0,168.0,353.0,8.0,272.0,12.0,819.0,611.0,116356.0,26786.0,9036.0,223020.0,255220.0,1373.0,251.0,1898.0,2796.0,1069.0,177.0
24,diyarbakr ,1023389.0,856317.0,83.7,851824.0,182763.0,11981.0,32.0,1223.0,558601.0,21306.0,14303.0,23860.0,37755.0,958170.0,814937.0,85.1,813243.0,218.0,311.0,15921.0,1304.0,2200.0,222.0,315.0,515.0,6520.0,2119.0,28.0,580294.0,2777.0,181456.0,798.0,8.0,18237.0,949859.0,825403.0,86.9,824246.0,23.0,330.0,1912.0,127.0,197.0,11.0,5.0,1688.0,1024.0,8.0,10213.0,640689.0,4160.0,10830.0,122031.0,629.0,3.0,379.0,627.0,1473.0,27887.0
25,edirne ,310614.0,275162.0,88.6,276377.0,78982.0,13958.0,617.0,885.0,10181.0,125476.0,2846.0,43214.0,218.0,304520.0,265445.0,87.2,269122.0,142.0,1318.0,150465.0,1389.0,2010.0,582.0,627.0,236.0,28482.0,808.0,221.0,6721.0,897.0,74713.0,296.0,215.0,0.0,304178.0,266821.0,87.7,268017.0,337.0,293.0,721.0,113.0,190.0,128.0,2.0,5.0,517.0,266.0,41876.0,8182.0,3945.0,141890.0,66398.0,738.0,117.0,581.0,1406.0,312.0,0.0
26,elazg ,411019.0,349331.0,85.0,351378.0,191626.0,47558.0,5210.0,587.0,35460.0,37751.0,6199.0,26987.0,0.0,398058.0,335029.0,84.2,337568.0,86.0,273.0,21256.0,735.0,3888.0,111.0,309.0,383.0,44845.0,764.0,12.0,37693.0,1875.0,224583.0,597.0,158.0,0.0,396190.0,328968.0,83.0,326786.0,414.0,80.0,707.0,75.0,99.0,4.0,220.0,6.0,721.0,3.0,67283.0,50200.0,9543.0,22529.0,172722.0,607.0,90.0,343.0,334.0,806.0,0.0
27,erzincan ,162168.0,146355.0,90.2,148496.0,66465.0,27652.0,144.0,160.0,8387.0,37865.0,1629.0,6194.0,0.0,152483.0,133863.0,87.8,135694.0,20.0,255.0,37338.0,444.0,758.0,31.0,95.0,70.0,13632.0,191.0,48.0,4736.0,908.0,76989.0,137.0,42.0,0.0,152970.0,132541.0,86.6,132930.0,84.0,22.0,113.0,21.0,22.0,32.0,44.0,326.0,144.0,59.0,21969.0,7770.0,2540.0,33673.0,65427.0,229.0,29.0,89.0,203.0,134.0,0.0
28,erzurum ,493586.0,431114.0,87.3,435909.0,238941.0,80780.0,849.0,715.0,52151.0,19280.0,7689.0,35504.0,0.0,483060.0,410525.0,85.0,415756.0,87.0,265.0,13898.0,766.0,3292.0,133.0,335.0,403.0,58794.0,1217.0,14.0,51205.0,2863.0,281706.0,603.0,175.0,0.0,484714.0,411812.0,85.0,412771.0,12.0,103.0,559.0,54.0,79.0,257.0,529.0,1324.0,1032.0,4.0,95594.0,73632.0,9756.0,12683.0,214522.0,805.0,2.0,417.0,326.0,747.0,334.0
29,eskisehir ,645534.0,575177.0,89.1,581533.0,225551.0,57747.0,780.0,1445.0,24821.0,187676.0,6452.0,76784.0,277.0,616531.0,546611.0,88.7,554141.0,276.0,1662.0,211142.0,1428.0,3571.0,697.0,1305.0,550.0,69748.0,663.0,377.0,16580.0,4242.0,241037.0,532.0,331.0,0.0,613609.0,540615.0,88.1,542040.0,592.0,402.0,585.0,181.0,305.0,7.0,219.0,10.0,499.0,415.0,90359.0,21439.0,12348.0,210340.0,196440.0,1483.0,159.0,1669.0,2281.0,1071.0,1236.0
30,gaziantep ,1214503.0,1039392.0,85.6,1051093.0,540735.0,133202.0,8743.0,2031.0,124858.0,158769.0,12576.0,70179.0,0.0,1138374.0,955727.0,84.0,968208.0,396.0,1220.0,157344.0,1957.0,5982.0,393.0,814.0,925.0,91997.0,1257.0,641.0,103249.0,5122.0,595708.0,1068.0,9.0,126.0,1130109.0,931622.0,82.4,933388.0,26.0,333.0,975.0,196.0,439.0,12.0,497.0,2215.0,1231.0,581.0,165917.0,142951.0,19157.0,152798.0,438958.0,1641.0,4.0,1371.0,1632.0,2454.0,0.0
31,giresun ,334305.0,290219.0,86.8,291621.0,156447.0,31556.0,813.0,835.0,4499.0,51840.0,3634.0,41997.0,0.0,320576.0,271905.0,84.8,274916.0,155.0,631.0,54744.0,1461.0,2318.0,231.0,524.0,437.0,38839.0,805.0,106.0,2834.0,1758.0,169420.0,507.0,146.0,0.0,320954.0,266962.0,83.2,267010.0,190.0,321.0,770.0,60.0,110.0,3.0,208.0,1507.0,601.0,237.0,48932.0,3821.0,6485.0,58351.0,142899.0,734.0,117.0,422.0,613.0,629.0,0.0
32,gumushane ,100675.0,80733.0,80.2,81300.0,46224.0,16712.0,223.0,185.0,1077.0,6057.0,1604.0,9218.0,0.0,93071.0,75099.0,80.7,75857.0,29.0,72.0,3861.0,257.0,800.0,21.0,107.0,111.0,17197.0,286.0,3.0,917.0,430.0,51591.0,146.0,29.0,0.0,98182.0,75316.0,76.7,74930.0,52.0,24.0,169.0,17.0,31.0,27.0,61.0,424.0,231.0,1.0,23182.0,1452.0,2182.0,4018.0,42526.0,181.0,17.0,126.0,57.0,152.0,0.0
33,hakkari ,168258.0,140276.0,83.4,139763.0,28048.0,5167.0,797.0,282.0,98064.0,4833.0,746.0,1826.0,0.0,157297.0,139055.0,88.4,140210.0,14.0,38.0,2276.0,186.0,181.0,33.0,37.0,36.0,2233.0,387.0,5.0,114906.0,380.0,19334.0,72.0,92.0,0.0,154705.0,144267.0,93.3,145631.0,4.0,41.0,130.0,24.0,16.0,53.0,38.0,149.0,108.0,1.0,3880.0,123607.0,529.0,2019.0,14132.0,52.0,1.0,32.0,54.0,230.0,531.0
34,hatay ,1041076.0,925282.0,88.9,939497.0,340122.0,135667.0,1546.0,1365.0,103530.0,287438.0,8449.0,61380.0,0.0,991518.0,862175.0,87.0,875648.0,248.0,1630.0,311664.0,1660.0,3925.0,343.0,748.0,906.0,106563.0,1486.0,30.0,61814.0,3067.0,381165.0,391.0,8.0,0.0,987001.0,845099.0,85.6,847035.0,24.0,858.0,673.0,170.0,319.0,11.0,326.0,1610.0,1155.0,8.0,117832.0,58334.0,13729.0,304062.0,322422.0,1319.0,3.0,870.0,1675.0,2408.0,19227.0
35,isparta ,312416.0,278869.0,89.3,280017.0,133707.0,36767.0,721.0,919.0,5959.0,46224.0,4211.0,51509.0,0.0,303851.0,265973.0,87.5,267984.0,167.0,668.0,56926.0,779.0,2699.0,183.0,1562.0,441.0,53810.0,525.0,115.0,4291.0,2098.0,142770.0,490.0,409.0,51.0,304480.0,265316.0,87.1,265218.0,443.0,154.0,526.0,65.0,155.0,3.0,151.0,5.0,386.0,254.0,70706.0,5894.0,7039.0,58743.0,117334.0,484.0,1.0,1624.0,694.0,557.0,0.0
36,mersin ,1270128.0,1123450.0,88.5,1136696.0,325518.0,145029.0,4529.0,2482.0,192573.0,304232.0,7814.0,154145.0,374.0,1217964.0,1064576.0,87.4,1077660.0,419.0,2953.0,324382.0,3101.0,3910.0,573.0,1406.0,1309.0,226284.0,1978.0,848.0,162141.0,4431.0,341999.0,1277.0,544.0,105.0,1210552.0,1048619.0,86.6,1054422.0,1077.0,517.0,1617.0,266.0,383.0,14.0,451.0,20.0,1054.0,935.0,257908.0,188846.0,10976.0,302377.0,278630.0,1452.0,4.0,1688.0,4031.0,1996.0,180.0
37,istanbul  nolu,3820086.0,3403734.0,89.1,3454103.0,1432502.0,283016.0,4896.0,7599.0,390752.0,997889.0,53545.0,282001.0,1903.0,3718621.0,3308005.0,89.0,3361988.0,781.0,10655.0,1095118.0,6668.0,24454.0,1832.0,1801.0,2429.0,288995.0,3181.0,2729.0,298282.0,14244.0,1606975.0,3298.0,32.0,514.0,3682297.0,3204244.0,87.0,3106846.0,1724.0,2030.0,2568.0,1618.0,545.0,40.0,1059.0,5319.0,2417.0,1688.0,326595.0,335131.0,66428.0,984474.0,1267266.0,4376.0,604.0,1615.0,16745.0,5139.0,79465.0
38,istanbul  nolu,3043424.0,2657989.0,87.3,2695729.0,1218889.0,218727.0,5422.0,5242.0,331407.0,668333.0,41941.0,204598.0,1170.0,3059084.0,2679038.0,87.6,2722231.0,761.0,6659.0,769709.0,5347.0,24027.0,1640.0,1528.0,2117.0,218087.0,2851.0,2270.0,274953.0,10278.0,1397763.0,2511.0,26.0,1704.0,3052377.0,2616876.0,85.7,2499021.0,70.0,1281.0,1947.0,1030.0,571.0,32.0,896.0,4809.0,2312.0,1384.0,280162.0,312631.0,61021.0,685437.0,1072358.0,3932.0,661.0,1499.0,9238.0,3949.0,53801.0
39,istanbul  nolu,3696176.0,3242484.0,87.7,3288761.0,1378027.0,278199.0,6638.0,6002.0,473364.0,832342.0,44384.0,268798.0,1007.0,3534833.0,3106713.0,87.9,3152977.0,883.0,7512.0,912392.0,6513.0,20696.0,1698.0,1676.0,3069.0,283166.0,3224.0,2766.0,376716.0,12093.0,1516587.0,3664.0,30.0,292.0,3497029.0,3010938.0,86.1,2881182.0,1874.0,1257.0,2649.0,880.0,641.0,37.0,1084.0,5233.0,2495.0,1395.0,329515.0,421903.0,53263.0,803249.0,1149778.0,3982.0,490.0,1560.0,10118.0,6215.0,83564.0
40,izmir  nolu,1577841.0,1397565.0,88.6,1415919.0,407119.0,83005.0,2329.0,4337.0,177358.0,581342.0,11152.0,148318.0,959.0,1521967.0,1330210.0,87.4,1351710.0,515.0,7381.0,608450.0,3343.0,4654.0,1069.0,1350.0,1068.0,151526.0,1637.0,1054.0,136014.0,5089.0,426807.0,1214.0,539.0,0.0,1513998.0,1312609.0,86.7,1316934.0,1135.0,1466.0,1018.0,620.0,313.0,428.0,367.0,1708.0,1176.0,808.0,167751.0,153806.0,12627.0,577529.0,350154.0,2199.0,272.0,1309.0,11790.0,3141.0,27317.0
41,izmir  nolu,1649191.0,1483365.0,89.9,1499645.0,429462.0,100307.0,2506.0,4845.0,157616.0,623028.0,12114.0,168774.0,993.0,1582376.0,1405144.0,88.8,1427239.0,628.0,7507.0,668344.0,3838.0,5578.0,1447.0,2932.0,1233.0,160856.0,2085.0,1006.0,111225.0,5323.0,454243.0,980.0,14.0,0.0,1571406.0,1384888.0,88.1,1391535.0,39.0,1732.0,1465.0,645.0,520.0,540.0,517.0,2349.0,1592.0,956.0,200973.0,131803.0,17148.0,635152.0,374618.0,2776.0,408.0,2898.0,11928.0,2247.0,1229.0
42,kars ,181776.0,147467.0,81.1,147480.0,55911.0,10664.0,430.0,426.0,47052.0,21132.0,1012.0,10853.0,0.0,182718.0,143564.0,78.6,144954.0,82.0,211.0,21954.0,511.0,427.0,121.0,140.0,193.0,17857.0,725.0,5.0,49334.0,614.0,52456.0,168.0,156.0,0.0,183620.0,149194.0,81.3,149562.0,467.0,69.0,286.0,46.0,56.0,188.0,176.0,585.0,459.0,1.0,20819.0,65000.0,1331.0,18066.0,40634.0,276.0,61.0,157.0,368.0,517.0,0.0
