,election_city,2018_registered_voters,2018_turnout,2018_percent_turnout,2018_valid_vote,2018_AKP,2018_MHP,2018_huda,2018_vatan,2018_HDP,2018_CHP,2018_saadet,2018_iyi,2018_independent,2015-1_registered_voters,2015-1_turnout,2015-1_percent_turnout,2015-1_valid_vote,2015-1_millet,2015-1_vatan,2015-1_CHP,2015-1_hak,2015-1_saadet,2015-1_dsp,2015-1_dp,2015-1_btp,2015-1_MHP,2015-1_hkp,2015-1_ldp,2015-1_HDP,2015-1_bbp,2015-1_AKP,2015-1_kp,2015-1_dyp,2015-1_indep,2015-2_registered_voters,2015-2_turnout,2015-2_percent_turnout,2015-2_valid_vote,2015-2_dyp,2015-2_anadolu,2015-2_hak,2015-2_kp,2015-2_millet,2015-2_hap,2015-2_mep,2015-2_turk,2015-2_hkp,2015-2_ldp,2015-2_MHP,2015-2_HDP,2015-2_saadet,2015-2_CHP,2015-2_AKP,2015-2_DSP,2015-2_yurt,2015-2_DP,2015-2_vatan,2015-2_BTP,2015-2_indep
43,kastamonu ,285633.0,249191.0,87.2,249395.0,130270.0,50072.0,736.0,1095.0,2821.0,38793.0,2357.0,23251.0,0.0,277099.0,234317.0,84.6,235944.0,219.0,574.0,40015.0,1538.0,1434.0,371.0,894.0,370.0,43802.0,806.0,181.0,2016.0,1741.0,141315.0,454.0,214.0,0.0,276527.0,235967.0,85.3,234995.0,355.0,152.0,930.0,48.0,182.0,174.0,310.0,1547.0,626.0,336.0,63054.0,2604.0,3698.0,43705.0,114480.0,810.0,149.0,769.0,538.0,528.0,0.0
44,kayseri ,952629.0,864726.0,90.8,874981.0,443015.0,187936.0,1512.0,1344.0,20742.0,108268.0,15035.0,96334.0,795.0,908579.0,816829.0,89.9,828618.0,360.0,1020.0,102309.0,1487.0,6137.0,284.0,798.0,1041.0,149622.0,1303.0,263.0,14425.0,7281.0,541237.0,854.0,197.0,0.0,900954.0,797889.0,88.6,799662.0,23.0,715.0,1183.0,146.0,335.0,10.0,308.0,15.0,738.0,655.0,219055.0,21731.0,24740.0,100274.0,418660.0,1523.0,3.0,1091.0,1342.0,1954.0,5161.0
45,krklareli ,272674.0,246416.0,90.4,248821.0,66885.0,12125.0,367.0,695.0,8417.0,118168.0,1499.0,40604.0,61.0,264853.0,235224.0,88.8,238700.0,100.0,1240.0,130492.0,960.0,819.0,337.0,599.0,199.0,29233.0,515.0,89.0,5379.0,710.0,67875.0,151.0,2.0,0.0,264150.0,235073.0,89.0,236591.0,258.0,92.0,402.0,90.0,83.0,66.0,112.0,499.0,382.0,164.0,49981.0,6425.0,2127.0,116871.0,56062.0,441.0,80.0,685.0,1369.0,345.0,57.0
46,krsehir ,165492.0,143297.0,86.6,144223.0,59471.0,24418.0,259.0,295.0,6779.0,36861.0,1437.0,14602.0,101.0,160348.0,136028.0,84.8,137521.0,58.0,266.0,24547.0,404.0,713.0,92.0,114.0,155.0,32760.0,351.0,67.0,6942.0,945.0,69874.0,192.0,41.0,0.0,159380.0,136013.0,85.3,136204.0,101.0,32.0,177.0,34.0,47.0,47.0,72.0,431.0,204.0,135.0,43086.0,8745.0,1752.0,26291.0,54265.0,214.0,32.0,131.0,250.0,158.0,0.0
47,kocaeli ,1334402.0,1198849.0,89.8,1212065.0,585313.0,137708.0,1889.0,2111.0,89162.0,243828.0,26436.0,125118.0,500.0,1240533.0,1115212.0,89.9,1130136.0,456.0,2213.0,262793.0,2404.0,18079.0,739.0,1556.0,1146.0,125827.0,1653.0,649.0,66247.0,6426.0,638266.0,1249.0,433.0,0.0,1221771.0,1076123.0,88.1,1077061.0,893.0,703.0,37.0,379.0,348.0,14.0,436.0,2441.0,1388.0,658.0,163742.0,82493.0,52631.0,260865.0,499906.0,2232.0,289.0,1826.0,2988.0,2479.0,313.0
48,konya ,1503411.0,1341859.0,89.3,1353605.0,804146.0,209722.0,2838.0,2105.0,50266.0,130962.0,31614.0,121356.0,596.0,1436847.0,1276934.0,88.9,1293768.0,535.0,1330.0,121209.0,2114.0,11461.0,513.0,1597.0,924.0,146050.0,2019.0,487.0,40094.0,7019.0,957770.0,634.0,12.0,0.0,1430306.0,1246020.0,87.1,1248307.0,915.0,421.0,2182.0,205.0,595.0,16.0,561.0,24.0,2185.0,12.0,203003.0,56488.0,36818.0,123675.0,812578.0,2705.0,5.0,1848.0,1822.0,1976.0,273.0
49,kutahya ,422116.0,386024.0,91.4,389173.0,213353.0,71847.0,826.0,931.0,4701.0,49250.0,6984.0,41281.0,0.0,419388.0,377974.0,90.1,381605.0,370.0,625.0,47614.0,1088.0,4890.0,340.0,1415.0,608.0,59535.0,862.0,180.0,3635.0,2767.0,256830.0,545.0,301.0,0.0,420348.0,375856.0,89.4,374999.0,464.0,222.0,960.0,61.0,336.0,172.0,256.0,7.0,490.0,337.0,99666.0,4933.0,13315.0,44972.0,204400.0,982.0,114.0,1558.0,629.0,867.0,258.0
50,malatya ,555349.0,487151.0,87.7,493508.0,265833.0,79588.0,1638.0,695.0,34647.0,82651.0,7400.0,21056.0,0.0,534469.0,461442.0,86.3,468056.0,140.0,545.0,71872.0,1010.0,2677.0,106.0,356.0,397.0,43035.0,643.0,186.0,27872.0,2278.0,316242.0,583.0,114.0,0.0,531722.0,448253.0,84.3,449445.0,13.0,125.0,575.0,73.0,110.0,6.0,186.0,9.0,416.0,194.0,51030.0,36823.0,8213.0,74664.0,262571.0,753.0,2.0,467.0,614.0,1251.0,11350.0
51,manisa ,1044628.0,953742.0,91.3,959001.0,385078.0,109812.0,2581.0,2816.0,67184.0,252578.0,8943.0,130009.0,0.0,1010386.0,912148.0,90.3,920060.0,587.0,2447.0,270096.0,3450.0,4993.0,916.0,2830.0,1271.0,162576.0,1888.0,574.0,52678.0,5493.0,407754.0,1609.0,763.0,135.0,1006697.0,907430.0,90.1,908317.0,1185.0,417.0,2071.0,284.0,506.0,12.0,655.0,17.0,1326.0,905.0,212884.0,63876.0,13492.0,262927.0,337237.0,2017.0,3.0,3284.0,2779.0,1956.0,484.0
52,kahramanmaras ,738677.0,661140.0,89.5,668879.0,391098.0,109216.0,1556.0,1377.0,25730.0,65348.0,10060.0,64494.0,0.0,700210.0,609748.0,87.1,618091.0,207.0,712.0,60034.0,26.0,3923.0,162.0,715.0,702.0,78929.0,1372.0,204.0,23475.0,5298.0,441137.0,979.0,216.0,0.0,696315.0,590412.0,84.8,591538.0,517.0,231.0,20.0,86.0,194.0,8.0,472.0,2848.0,1432.0,6.0,116527.0,32457.0,21293.0,51412.0,359608.0,1223.0,2.0,859.0,760.0,1313.0,270.0
53,mardin ,470545.0,395732.0,84.1,397210.0,120854.0,10429.0,8268.0,673.0,235722.0,13153.0,3278.0,4483.0,350.0,445041.0,385111.0,86.5,388399.0,24.0,99.0,6800.0,367.0,863.0,53.0,107.0,111.0,3703.0,245.0,472.0,260283.0,1068.0,113670.0,307.0,125.0,102.0,441076.0,385065.0,87.3,386747.0,11.0,168.0,514.0,63.0,53.0,5.0,2.0,7.0,292.0,4.0,4998.0,278691.0,2082.0,5239.0,76999.0,296.0,1.0,125.0,294.0,951.0,15952.0
54,mugla ,724911.0,642952.0,88.7,648091.0,182679.0,42033.0,1402.0,2667.0,43648.0,264842.0,3958.0,106862.0,0.0,673144.0,584888.0,86.9,591954.0,429.0,3236.0,281261.0,2172.0,1551.0,621.0,2615.0,561.0,87240.0,1169.0,20.0,26202.0,2360.0,181208.0,645.0,664.0,0.0,665608.0,573386.0,86.1,575598.0,1028.0,653.0,843.0,271.0,260.0,7.0,322.0,1640.0,818.0,433.0,107461.0,31385.0,4861.0,259698.0,155008.0,1066.0,2.0,3883.0,4900.0,931.0,128.0
55,mus ,228538.0,189275.0,82.8,188705.0,61197.0,7047.0,2791.0,406.0,102725.0,4667.0,1707.0,8165.0,0.0,220620.0,186276.0,84.4,187445.0,21.0,76.0,3245.0,231.0,924.0,36.0,69.0,86.0,2709.0,504.0,6.0,113642.0,1025.0,64599.0,147.0,125.0,0.0,222126.0,196878.0,88.6,197774.0,6.0,21.0,171.0,20.0,23.0,107.0,41.0,255.0,150.0,28.0,4019.0,138783.0,1555.0,2879.0,49166.0,143.0,24.0,56.0,75.0,252.0,0.0
56,nevsehir ,210520.0,189162.0,89.9,191120.0,101552.0,34118.0,558.0,433.0,3329.0,31705.0,2233.0,17192.0,0.0,204105.0,179368.0,87.9,181547.0,82.0,391.0,27614.0,475.0,1285.0,103.0,362.0,247.0,32760.0,325.0,41.0,2515.0,1425.0,113609.0,229.0,84.0,0.0,203116.0,177093.0,87.2,177129.0,142.0,50.0,240.0,26.0,55.0,35.0,100.0,628.0,383.0,2.0,48353.0,3225.0,3182.0,26540.0,92813.0,314.0,48.0,275.0,425.0,293.0,0.0
57,nigde ,240101.0,210930.0,87.9,212678.0,93223.0,44131.0,451.0,630.0,3530.0,42974.0,2549.0,25190.0,0.0,229785.0,197126.0,85.8,198961.0,70.0,484.0,40372.0,793.0,1515.0,136.0,332.0,229.0,36796.0,431.0,67.0,2361.0,1328.0,113638.0,312.0,97.0,0.0,229904.0,194846.0,84.8,194708.0,162.0,88.0,456.0,60.0,82.0,64.0,208.0,4.0,417.0,2.0,49093.0,3165.0,4600.0,41458.0,93257.0,396.0,63.0,298.0,584.0,251.0,0.0
58,ordu ,557984.0,484245.0,86.8,484706.0,236392.0,81680.0,1262.0,1784.0,6789.0,110237.0,5530.0,41032.0,0.0,533466.0,445054.0,83.4,449524.0,252.0,1088.0,109114.0,19.0,3228.0,621.0,952.0,549.0,42063.0,1500.0,16.0,4047.0,2007.0,283681.0,383.0,4.0,0.0,530789.0,428544.0,80.7,427036.0,12.0,302.0,15.0,106.0,315.0,5.0,445.0,3095.0,1449.0,4.0,54821.0,5377.0,9847.0,120594.0,226020.0,1632.0,2.0,942.0,965.0,992.0,96.0
59,rize ,252342.0,222114.0,88.0,224241.0,145412.0,27831.0,236.0,372.0,3214.0,29234.0,4187.0,13479.0,276.0,243089.0,204247.0,84.0,207096.0,66.0,368.0,30883.0,744.0,3025.0,111.0,312.0,205.0,11212.0,316.0,58.0,2162.0,1125.0,156051.0,368.0,90.0,0.0,243273.0,200350.0,82.4,201007.0,116.0,77.0,323.0,56.0,40.0,41.0,45.0,687.0,246.0,81.0,16290.0,3152.0,6869.0,37891.0,133431.0,474.0,1.0,323.0,436.0,428.0,0.0
60,sakarya ,705270.0,637350.0,90.4,645246.0,375397.0,88022.0,880.0,1232.0,17403.0,88486.0,13240.0,60586.0,0.0,668443.0,598561.0,89.5,606581.0,244.0,917.0,93485.0,1556.0,7942.0,348.0,952.0,636.0,73431.0,1113.0,336.0,12889.0,3486.0,408200.0,775.0,271.0,0.0,662886.0,583515.0,88.0,585136.0,16.0,324.0,1089.0,133.0,189.0,187.0,392.0,11.0,687.0,524.0,112350.0,17451.0,22651.0,93008.0,330588.0,1320.0,387.0,1005.0,1032.0,1201.0,591.0
61,samsun ,959127.0,848938.0,88.5,853354.0,443537.0,138480.0,1313.0,1816.0,15082.0,147454.0,12140.0,92817.0,715.0,923878.0,799637.0,86.6,809655.0,492.0,1577.0,164520.0,34.0,7382.0,702.0,2122.0,899.0,99977.0,2114.0,432.0,8983.0,4649.0,514071.0,1314.0,387.0,0.0,917372.0,772059.0,84.2,772336.0,22.0,411.0,26.0,199.0,435.0,10.0,515.0,3357.0,1486.0,644.0,136454.0,12417.0,21948.0,177616.0,408378.0,2212.0,3.0,2514.0,1584.0,1610.0,495.0
62,siirt ,179764.0,151462.0,84.3,150796.0,58760.0,5314.0,1782.0,281.0,77009.0,3841.0,1410.0,2399.0,0.0,168786.0,144362.0,85.5,144068.0,39.0,90.0,2949.0,279.0,697.0,56.0,71.0,62.0,2380.0,471.0,5.0,82406.0,764.0,53585.0,129.0,85.0,0.0,168806.0,146387.0,86.7,145501.0,4.0,27.0,218.0,26.0,39.0,144.0,1.0,443.0,212.0,1.0,3693.0,94184.0,1526.0,2301.0,41775.0,197.0,78.0,83.0,127.0,209.0,213.0
63,sinop ,159840.0,140110.0,87.7,139479.0,77085.0,10064.0,449.0,789.0,2790.0,33789.0,1561.0,12952.0,0.0,154624.0,130506.0,84.4,131068.0,134.0,614.0,38531.0,1154.0,1085.0,268.0,404.0,201.0,11341.0,537.0,120.0,1684.0,808.0,73749.0,337.0,101.0,0.0,154185.0,130304.0,84.5,129470.0,164.0,110.0,562.0,38.0,136.0,159.0,1.0,1183.0,426.0,184.0,21724.0,2156.0,2350.0,36774.0,61544.0,523.0,126.0,442.0,587.0,281.0,0.0
64,sivas ,450068.0,404295.0,89.8,409327.0,223575.0,77772.0,547.0,648.0,8991.0,62345.0,7196.0,27987.0,266.0,435478.0,378824.0,87.0,384282.0,112.0,496.0,56921.0,917.0,3229.0,126.0,288.0,297.0,44996.0,576.0,90.0,5267.0,7683.0,262690.0,531.0,63.0,0.0,436511.0,376654.0,86.3,377488.0,11.0,106.0,554.0,42.0,101.0,5.0,141.0,1460.0,713.0,4.0,67934.0,6764.0,23456.0,56605.0,217102.0,807.0,88.0,377.0,504.0,630.0,84.0
65,tekirdag ,736589.0,657317.0,89.2,664448.0,230731.0,50255.0,929.0,1642.0,43729.0,253708.0,5203.0,78022.0,229.0,673017.0,592644.0,88.1,601641.0,261.0,2385.0,270062.0,2441.0,2976.0,727.0,1077.0,537.0,61209.0,1036.0,384.0,28413.0,2579.0,226669.0,631.0,6.0,248.0,662357.0,579494.0,87.5,582520.0,668.0,679.0,1106.0,200.0,222.0,7.0,311.0,11.0,771.0,394.0,87550.0,34210.0,8006.0,255560.0,184015.0,1275.0,287.0,1179.0,2990.0,1197.0,1882.0
66,tokat ,423449.0,382498.0,90.3,386608.0,192946.0,63390.0,630.0,695.0,8009.0,79873.0,4946.0,36119.0,0.0,411385.0,361286.0,87.8,366075.0,166.0,589.0,80701.0,1065.0,3320.0,179.0,681.0,354.0,53674.0,671.0,141.0,4371.0,2279.0,217673.0,208.0,3.0,0.0,415657.0,356841.0,85.8,357815.0,10.0,165.0,940.0,58.0,211.0,120.0,131.0,7.0,448.0,303.0,77620.0,6068.0,10343.0,74258.0,184566.0,650.0,113.0,703.0,554.0,547.0,0.0
67,trabzon ,583183.0,509406.0,87.3,513234.0,287302.0,69424.0,634.0,957.0,6941.0,77656.0,12708.0,57325.0,287.0,560949.0,478130.0,85.2,484777.0,255.0,812.0,79379.0,20.0,6748.0,318.0,1118.0,1524.0,62711.0,1157.0,182.0,4792.0,2362.0,322516.0,687.0,196.0,0.0,559096.0,466853.0,83.5,467857.0,284.0,148.0,16.0,79.0,202.0,6.0,361.0,1970.0,839.0,297.0,97064.0,6175.0,16632.0,79603.0,258685.0,969.0,2.0,1336.0,780.0,2302.0,107.0
68,tunceli ,64290.0,55449.0,86.2,55872.0,8216.0,3203.0,59.0,67.0,28510.0,14704.0,178.0,920.0,15.0,62608.0,50474.0,80.6,51298.0,7.0,71.0,14320.0,137.0,67.0,24.0,26.0,44.0,1390.0,166.0,2.0,28133.0,225.0,6612.0,32.0,42.0,0.0,63614.0,53711.0,84.4,54198.0,1.0,7.0,72.0,9.0,10.0,83.0,32.0,55.0,99.0,1.0,3244.0,32529.0,400.0,11117.0,6241.0,58.0,18.0,27.0,67.0,128.0,0.0
69,sanlurfa ,1060815.0,864333.0,81.5,869991.0,458246.0,80810.0,13528.0,997.0,251779.0,33791.0,11218.0,16174.0,3448.0,976961.0,818358.0,83.8,826073.0,122.0,397.0,25328.0,1124.0,3091.0,188.0,515.0,389.0,23669.0,1460.0,29.0,232846.0,3241.0,531554.0,1568.0,330.0,222.0,974219.0,781449.0,80.2,781001.0,22.0,321.0,1412.0,137.0,201.0,10.0,5.0,15.0,797.0,7.0,44111.0,297417.0,7866.0,34309.0,365329.0,1326.0,3.0,742.0,506.0,1965.0,24500.0
70,usak ,266493.0,242827.0,91.1,243314.0,105783.0,25667.0,613.0,744.0,7460.0,68725.0,3338.0,30984.0,0.0,257450.0,232030.0,90.1,233866.0,158.0,625.0,70219.0,953.0,1715.0,369.0,496.0,431.0,41812.0,485.0,8.0,5156.0,1303.0,109524.0,385.0,179.0,48.0,256900.0,232374.0,90.5,232508.0,181.0,131.0,8.0,51.0,138.0,113.0,155.0,4.0,522.0,2.0,63796.0,6487.0,4189.0,65346.0,89016.0,541.0,73.0,537.0,560.0,612.0,46.0
71,van ,637867.0,529789.0,83.1,527708.0,167667.0,16245.0,4773.0,850.0,313017.0,13914.0,4208.0,6720.0,314.0,599698.0,486467.0,81.1,487344.0,68.0,220.0,9095.0,886.0,2198.0,205.0,230.0,306.0,6351.0,1760.0,17.0,313177.0,2292.0,149796.0,385.0,358.0,0.0,596809.0,504243.0,84.5,503952.0,14.0,234.0,933.0,109.0,137.0,6.0,3.0,10.0,804.0,5.0,14382.0,370829.0,3470.0,6804.0,101153.0,462.0,2.0,218.0,254.0,863.0,3260.0
72,yozgat ,296268.0,256041.0,86.4,258984.0,138261.0,64026.0,453.0,451.0,3447.0,30138.0,3046.0,19162.0,0.0,295512.0,246930.0,83.6,249863.0,296.0,323.0,19006.0,574.0,1293.0,85.0,236.0,1089.0,30853.0,555.0,69.0,2424.0,1477.0,161396.0,585.0,938.0,28664.0,300197.0,244993.0,81.6,245540.0,7.0,103.0,608.0,29.0,85.0,3.0,2.0,5.0,493.0,252.0,67471.0,3422.0,6141.0,22581.0,142698.0,542.0,1.0,352.0,378.0,367.0,0.0
73,zonguldak ,446863.0,392815.0,87.9,389345.0,178995.0,42316.0,830.0,1553.0,7406.0,119800.0,6866.0,30388.0,1191.0,446031.0,383793.0,86.0,385731.0,396.0,1487.0,138396.0,16.0,5317.0,1110.0,1174.0,526.0,36494.0,1080.0,326.0,4808.0,2621.0,191087.0,586.0,307.0,0.0,447533.0,385418.0,86.1,383294.0,496.0,294.0,13.0,120.0,484.0,389.0,2.0,7.0,825.0,465.0,62301.0,6154.0,12295.0,147652.0,146644.0,1659.0,1.0,1208.0,1548.0,737.0,0.0
74,aksaray ,266870.0,232175.0,87.0,234008.0,131386.0,48064.0,648.0,460.0,3678.0,23160.0,1952.0,24660.0,0.0,254360.0,214971.0,84.5,217257.0,111.0,212.0,16548.0,500.0,888.0,113.0,275.0,314.0,38672.0,459.0,7.0,2712.0,1291.0,154704.0,376.0,75.0,0.0,254762.0,209965.0,82.4,209674.0,143.0,77.0,369.0,34.0,145.0,78.0,148.0,4.0,485.0,2.0,62609.0,4447.0,2765.0,14520.0,122256.0,535.0,47.0,300.0,262.0,448.0,0.0
75,bayburt ,56099.0,48364.0,86.2,49112.0,28216.0,13463.0,79.0,51.0,593.0,2097.0,1593.0,3020.0,0.0,52618.0,45194.0,85.9,45851.0,24.0,26.0,1117.0,107.0,643.0,9.0,68.0,56.0,9471.0,116.0,2.0,483.0,214.0,33422.0,81.0,12.0,0.0,54177.0,46076.0,85.0,46219.0,1.0,12.0,74.0,4.0,12.0,5.0,10.0,160.0,70.0,38.0,14558.0,702.0,1322.0,1290.0,27739.0,70.0,6.0,70.0,28.0,48.0,0.0
76,karaman ,173500.0,156830.0,90.4,157709.0,84410.0,23620.0,362.0,534.0,2491.0,25615.0,2482.0,18195.0,0.0,167703.0,149208.0,89.0,150003.0,77.0,354.0,22749.0,552.0,1446.0,116.0,250.0,188.0,23979.0,376.0,65.0,1934.0,977.0,96587.0,285.0,68.0,0.0,167295.0,147798.0,88.3,147481.0,112.0,66.0,372.0,53.0,72.0,62.0,89.0,680.0,246.0,140.0,33184.0,2399.0,4089.0,22939.0,81702.0,338.0,56.0,205.0,400.0,277.0,0.0
77,krkkale ,198396.0,173824.0,87.6,175913.0,76851.0,42627.0,299.0,314.0,2796.0,26888.0,2117.0,24021.0,0.0,193583.0,166855.0,86.2,168964.0,67.0,229.0,23160.0,423.0,1213.0,62.0,183.0,163.0,34629.0,291.0,52.0,1912.0,1303.0,105031.0,202.0,44.0,0.0,193668.0,165084.0,85.2,165160.0,86.0,43.0,166.0,27.0,49.0,38.0,77.0,494.0,177.0,145.0,46955.0,2793.0,3838.0,25375.0,83569.0,336.0,46.0,178.0,301.0,244.0,223.0
78,batman ,342111.0,293091.0,85.7,292856.0,72948.0,3561.0,11.0,444.0,181841.0,5357.0,9166.0,3530.0,15998.0,312429.0,268175.0,85.8,267088.0,27.0,86.0,4279.0,387.0,1473.0,52.0,96.0,100.0,2166.0,803.0,9.0,178435.0,1067.0,77809.0,193.0,106.0,0.0,310442.0,280188.0,90.3,269688.0,8.0,112.0,401.0,63.0,50.0,3.0,2.0,513.0,242.0,3.0,3315.0,192545.0,2635.0,3131.0,50957.0,195.0,87.0,108.0,122.0,473.0,14723.0
79,srnak ,268308.0,233565.0,87.1,233758.0,42516.0,9370.0,4856.0,363.0,164184.0,6363.0,1069.0,4629.0,408.0,243425.0,219309.0,90.1,220242.0,20.0,60.0,3275.0,352.0,282.0,43.0,56.0,87.0,3082.0,640.0,8.0,184397.0,578.0,27148.0,103.0,111.0,0.0,243126.0,223945.0,92.1,225459.0,6.0,178.0,437.0,21.0,39.0,3.0,1.0,399.0,254.0,2.0,5786.0,189044.0,961.0,2987.0,21895.0,97.0,1.0,57.0,96.0,369.0,2826.0
80,bartn ,146888.0,128658.0,87.6,126907.0,59687.0,21604.0,350.0,672.0,2162.0,32331.0,2690.0,7411.0,0.0,143326.0,123500.0,86.2,123294.0,170.0,429.0,36752.0,888.0,2407.0,361.0,424.0,193.0,12754.0,447.0,4.0,1602.0,684.0,65827.0,237.0,115.0,0.0,142950.0,123956.0,86.7,122413.0,210.0,161.0,523.0,42.0,144.0,124.0,187.0,904.0,361.0,158.0,22038.0,2044.0,5721.0,37002.0,50978.0,493.0,120.0,407.0,444.0,352.0,0.0
81,ardahan ,69405.0,58863.0,84.8,58429.0,21704.0,3957.0,205.0,207.0,13662.0,15115.0,585.0,2994.0,0.0,68858.0,55820.0,81.1,56103.0,40.0,165.0,16097.0,335.0,155.0,132.0,97.0,64.0,4965.0,299.0,2.0,12387.0,372.0,20763.0,124.0,106.0,0.0,68906.0,57809.0,83.9,57583.0,329.0,36.0,149.0,23.0,31.0,69.0,61.0,261.0,172.0,31.0,4513.0,17360.0,581.0,12718.0,15407.0,239.0,40.0,79.0,158.0,646.0,4680.0
82,igdr ,119655.0,93297.0,78.0,93936.0,19466.0,22448.0,202.0,211.0,41545.0,2669.0,1877.0,5518.0,0.0,115416.0,94728.0,82.1,95605.0,34.0,54.0,2042.0,248.0,169.0,38.0,61.0,102.0,11973.0,504.0,3.0,49442.0,483.0,30260.0,93.0,99.0,0.0,115783.0,96332.0,83.2,97099.0,134.0,11.0,91.0,18.0,34.0,84.0,58.0,120.0,134.0,100.0,25903.0,54289.0,513.0,3786.0,11386.0,67.0,30.0,52.0,73.0,216.0,0.0
83,yalova ,178178.0,155158.0,87.1,157188.0,69369.0,12244.0,292.0,335.0,12530.0,44986.0,2046.0,15386.0,0.0,168136.0,142074.0,84.5,144024.0,52.0,524.0,45040.0,380.0,1212.0,107.0,247.0,171.0,14142.0,199.0,123.0,9833.0,781.0,70993.0,161.0,59.0,0.0,166060.0,140138.0,84.4,140833.0,133.0,58.0,169.0,38.0,31.0,43.0,49.0,260.0,119.0,86.0,27072.0,12067.0,2740.0,40612.0,55951.0,203.0,31.0,232.0,652.0,287.0,0.0
84,karabuk ,175500.0,154405.0,88.0,154703.0,83252.0,21007.0,329.0,564.0,2290.0,25772.0,2660.0,18829.0,0.0,168332.0,146784.0,87.2,147688.0,113.0,330.0,22562.0,629.0,1822.0,145.0,463.0,398.0,28679.0,340.0,125.0,1653.0,881.0,89225.0,220.0,103.0,0.0,167789.0,145025.0,86.4,144241.0,202.0,94.0,375.0,35.0,68.0,78.0,135.0,723.0,231.0,164.0,39203.0,2238.0,4749.0,24853.0,69164.0,354.0,70.0,413.0,377.0,715.0,0.0
85,kilis ,85616.0,75129.0,87.8,75698.0,38481.0,15405.0,180.0,131.0,1741.0,11051.0,1019.0,7690.0,0.0,78898.0,67957.0,86.1,68845.0,25.0,92.0,8453.0,151.0,343.0,27.0,63.0,307.0,12434.0,106.0,20.0,1378.0,356.0,44981.0,84.0,25.0,0.0,78278.0,67012.0,85.6,67149.0,74.0,32.0,68.0,7.0,25.0,11.0,33.0,248.0,76.0,76.0,23515.0,2735.0,907.0,5303.0,33035.0,132.0,14.0,85.0,116.0,657.0,0.0
86,osmaniye ,357485.0,308729.0,86.4,312471.0,113323.0,98996.0,1169.0,677.0,11210.0,42321.0,3076.0,41699.0,0.0,338592.0,288072.0,85.1,291730.0,137.0,408.0,39812.0,879.0,1467.0,160.0,416.0,411.0,98737.0,841.0,139.0,8979.0,1731.0,137119.0,384.0,110.0,0.0,336102.0,285178.0,84.8,286386.0,8.0,90.0,433.0,39.0,69.0,4.0,143.0,947.0,442.0,384.0,115588.0,12046.0,3875.0,38443.0,111980.0,622.0,61.0,436.0,393.0,383.0,0.0
87,duzce ,267610.0,244322.0,91.3,247064.0,138507.0,46227.0,312.0,644.0,5103.0,35925.0,3674.0,16672.0,0.0,255302.0,229220.0,89.8,232115.0,106.0,566.0,38028.0,801.0,2591.0,196.0,457.0,278.0,19454.0,484.0,97.0,3662.0,1471.0,163422.0,383.0,119.0,0.0,253389.0,225204.0,88.9,225320.0,214.0,151.0,658.0,51.0,111.0,80.0,143.0,4.0,317.0,181.0,35200.0,5495.0,8945.0,36249.0,133318.0,651.0,73.0,512.0,781.0,811.0,1375.0
